x,y,z,xt,yt,zt
-0.099755, -0.047678, -0.754039, , , 
-0.137296, -0.147930, -0.888262, , , 
-0.139122, -0.039458, -0.748955, , , 
-0.136955, -0.148154, -0.889390, , , 
-0.151385, -0.051176, -0.739502, , , 
-0.130897, -0.113075, -0.840995, , , 
-0.170493, -0.063618, -0.765451, , , 
-0.116030, -0.118008, -0.813311, , , 
-0.121334, -0.074078, -0.777471, , , 
-0.101406, -0.057924, -0.751581, , , 
-0.173724, -0.001900, -0.872913, , , 
-0.097010, 0.023955, -0.713243, , , 
-0.123124, 0.011087, -0.744495, , , 
-0.148398, 0.006776, -0.736844, , , 
-0.108090, -0.036919, -0.733392, , , 
-0.163718, -0.009042, -0.894110, , , 
-0.145467, -0.035864, -0.723510, , , 
-0.159504, -0.089037, -0.824735, , , 
-0.155175, 0.001913, -0.785458, , , 
-0.143502, -0.004715, -0.771825, , , 
-0.156209, -0.002240, -0.779902, , , 
-0.196638, -0.053276, -0.770614, , , 
-0.160255, 0.004086, -0.839514, , , 
-0.113394, -0.066065, -0.762660, , , 
-0.152846, -0.023815, -0.743813, , , 
-0.150257, 0.004420, -0.776488, , , 
-0.162998, -0.218977, -0.942656, , , 
-0.226530, -0.170566, -1.003894, , , 
-0.137255, -0.146964, -0.909984, , , 
-0.140414, -0.065436, -0.793961, , , 
-0.136011, -0.115916, -0.818868, , , 
-0.141331, -0.118668, -0.853003, , , 
-0.184602, -0.099292, -0.862524, , , 
-0.191314, -0.093590, -0.851242, , , 
-0.150148, -0.174310, -0.951751, , , 
-0.117986, -0.069107, -0.778215, , , 
-0.077224, 0.022528, -0.683505, , , 
-0.173751, -0.029750, -0.781870, , , 
-0.240032, -0.187636, -1.030908, , , 
-0.106020, -0.060365, -0.766561, , , 
-0.180080, -0.097819, -0.858627, , , 
-0.190910, -0.092960, -0.849751, , , 
-0.131832, -0.076768, -0.766636, , , 
-0.164682, -0.085265, -0.809774, , , 
-0.080516, 0.008283, -0.700876, , , 
-0.266309, 0.012194, -0.940354, , , 
-0.143365, -0.224174, -1.012955, , , 
-0.162867, 0.005159, -0.776275, , , 
-0.129559, -0.154356, -0.901279, , , 
-0.206163, -0.073610, -0.807429, , , 
-0.215128, -0.070702, -0.854687, , , 
-0.217978, -0.066034, -0.759572, , , 
-0.085738, -0.095239, -0.693371, , , 
-0.169701, -0.161713, -0.943714, , , 
-0.279782, 0.037264, -0.992562, , , 
-0.212195, -0.244056, -1.097960, , , 
-0.186075, -0.084178, -0.825784, , , 
-0.191197, -0.100534, -0.869210, , , 
-0.180684, -0.046772, -0.764068, , , 
-0.171333, -0.065462, -0.774723, , , 
-0.140924, -0.195288, -0.976639, , , 
-0.212915, -0.024444, -0.868443, , , 
-0.083948, -0.168115, -0.896734, , , 
-0.325877, -0.259065, -1.280636, , , 
-0.255784, -0.050718, -0.849744, , , 
-0.272131, -0.121467, -0.976303, , , 
-0.105049, -0.080933, -0.804509, , , 
-0.303084, -0.085917, -0.905751, , , 
-0.232169, -0.180423, -0.996636, , , 
-0.204034, -0.238924, -1.054743, , , 
-0.295741, -0.102009, -0.931310, , , 
-0.232240, -0.153443, -1.024538, , , 
-0.094825, -0.106129, -0.777341, , , 
-0.231591, -0.053874, -0.802446, , , 
-0.079836, -0.011803, -0.692108, , , 
-0.160378, -0.091893, -0.831661, , , 
-0.255386, -0.111954, -0.915399, , , 
-0.225366, -0.169179, -0.997730, , , 
-0.166047, -0.104668, -0.861638, , , 
-0.148708, -0.196961, -1.011120, , , 
-0.103939, -0.149108, -0.881622, , , 
-0.135590, -0.043330, -0.756106, , , 
-0.182097, -0.061986, -0.749268, , , 
-0.205418, -0.263199, -1.106468, , , 
-0.404377, -0.148378, -1.200047, , , 
-0.370471, -0.129567, -1.080243, , , 
-0.411417, -0.126450, -1.175450, , , 
-0.296067, -0.100924, -0.932838, , , 
-0.303049, -0.127636, -1.001529, , , 
-0.104484, -0.203271, -0.945657, , , 
-0.155994, -0.172933, -0.945445, , , 
-0.194114, -0.077989, -0.801375, , , 
-0.116965, -0.198674, -0.978701, , , 
-0.089755, -0.015636, -0.725652, , , 
-0.359737, -0.136212, -1.073443, , , 
-0.084056, -0.167549, -0.882563, , , 
