x,y,z,xt,yt,zt
-0.254412, -0.135445, -1.017180, , , 
-0.039361, -0.053572, -1.061531, , , 
-0.318799, -0.154860, -0.970457, , , 
-0.281846, -0.145253, -1.005206, , , 
-0.352413, 0.029217, -0.973152, , , 
-0.340428, 0.021305, -0.967954, , , 
-0.032372, -0.082992, -1.027495, , , 
-0.029989, -0.108182, -1.024248, , , 
0.002492, -0.110809, -0.994955, , , 
-0.098169, -0.151588, -1.113792, , , 
-0.113277, -0.084181, -1.080034, , , 
-0.186398, -0.108603, -1.076968, , , 
-0.275654, 0.011590, -0.999631, , , 
0.006948, -0.142729, -1.005685, , , 
-0.264134, 0.016588, -1.024786, , , 
-0.258941, -0.060479, -1.023975, , , 
-0.256214, -0.135447, -1.018804, , , 
-0.093139, -0.118325, -1.099975, , , 
-0.280211, 0.033147, -1.025791, , , 
-0.023089, -0.042507, -1.048335, , , 
-0.189205, -0.078168, -1.052794, , , 
-0.196762, -0.137181, -1.066262, , , 
-0.012086, -0.134114, -1.029961, , , 
-0.279151, -0.000582, -1.021518, , , 
-0.023964, -0.065977, -1.047153, , , 
-0.292839, -0.120237, -1.007107, , , 
-0.093907, -0.004699, -1.072984, , , 
-0.011860, -0.064323, -1.003559, , , 
-0.199582, -0.168226, -1.142435, , , 
-0.277936, -0.093909, -1.005121, , , 
-0.300600, -0.106169, -0.993619, , , 
-0.009570, -0.073262, -1.027875, , , 
-0.301112, -0.073577, -1.034936, , , 
-0.026873, -0.080528, -0.994824, , , 
-0.312623, 0.089470, -1.008751, , , 
-0.321630, -0.142705, -0.968050, , , 
-0.181747, -0.115443, -1.069635, , , 
-0.289613, -0.173824, -0.988985, , , 
-0.028285, -0.107872, -1.010032, , , 
-0.146653, -0.082374, -1.069635, , , 
-0.344521, -0.038284, -0.971566, , , 
-0.289205, 0.004662, -1.006176, , , 
-0.132586, -0.072854, -1.241697, , , 
-0.233067, -0.126633, -1.031977, , , 
-0.310849, -0.089561, -0.989972, , , 
-0.050590, -0.129059, -1.019937, , , 
-0.291420, -0.130419, -0.949368, , , 
-0.093061, -0.113478, -1.057514, , , 
-0.312841, -0.098097, -0.986505, , , 
-0.211803, 0.082649, -1.184048, , , 
-0.314495, -0.137391, -0.972193, , , 
-0.031071, 0.049471, -1.019230, , , 
-0.264066, -0.085395, -1.034097, , , 
-0.203303, -0.093115, -1.054604, , , 
-0.282661, 0.076340, -1.000280, , , 
-0.266659, 0.059951, -1.010227, , , 
-0.253414, -0.124760, -1.018944, , , 
-0.240283, -0.055246, -1.026043, , , 
-0.236440, -0.121039, -1.031484, , , 
-0.262987, -0.142281, -1.010107, , , 
-0.254187, -0.135840, -1.019426, , , 
-0.173116, -0.186791, -1.102355, , , 
-0.024905, -0.042373, -1.047151, , , 
-0.106207, -0.026703, -1.100712, , , 
-0.185349, -0.143579, -1.064234, , , 
-0.291172, -0.129804, -0.995251, , , 
-0.258321, -0.138388, -1.013735, , , 
-0.023352, -0.086995, -1.022779, , , 
-0.258029, -0.105041, -0.912093, , , 
-0.255235, -0.098007, -1.024604, , , 
-0.054240, -0.138091, -1.038131, , , 
-0.048578, -0.146121, -1.036703, , , 
-0.307888, -0.132329, -0.985697, , , 
-0.056159, -0.107575, -0.969166, , , 
-0.190329, -0.108000, -1.106316, , , 
-0.317024, -0.138327, -0.976520, , , 
0.007412, -0.040870, -0.998348, , , 
-0.211868, -0.145312, -0.994633, , , 
-0.011796, -0.145188, -1.038893, , , 
-0.306870, -0.131457, -0.984771, , , 
-0.272564, -0.062977, -1.017911, , , 
-0.118178, -0.141539, -1.109428, , , 
-0.270985, 0.008377, -1.020986, , , 
-0.119207, -0.133424, -1.106209, , , 
-0.237010, -0.118232, -1.029320, , , 
-0.259242, 0.031454, -0.984885, , , 
-0.116236, -0.004146, -1.104231, , , 
-0.087509, -0.172600, -1.110677, , , 
-0.313549, -0.125288, -0.979275, , , 
-0.247658, -0.080531, -1.031313, , , 
-0.208783, -0.138363, -1.046214, , , 
-0.301764, -0.115227, -0.988582, , , 
-0.110668, -0.108490, -1.126973, , , 
-0.087209, 0.011486, -1.057768, , , 
-0.288697, -0.116929, -0.998450, , , 
-0.103937, -0.024982, -1.088642, , , 
-0.049721, -0.161737, -1.043247, , , 
-0.105655, -0.014418, -1.066108, , , 
-0.232100, -0.127554, -0.984803, , , 
-0.352549, -0.038617, -0.992434, , , 
-0.291598, 0.043107, -1.016525, , , 
-0.167822, -0.124108, -1.150871, , , 
-0.384573, -0.054414, -1.006024, , , 
-0.155105, -0.191199, -1.203882, , , 
-0.262218, -0.129042, -1.015502, , , 
-0.234124, -0.138674, -1.035949, , , 
-0.347638, -0.051476, -0.966964, , , 
-0.104067, 0.009006, -1.068567, , , 
-0.031477, -0.126564, -1.036667, , , 
-0.315165, -0.118832, -0.982828, , , 
-0.072520, -0.122339, -1.066282, , , 
-0.289046, -0.129007, -0.989990, , , 
-0.114323, -0.139061, -1.108204, , , 
